outer_fold,keyword_id,surface_form,include_core,include_main,include_extended,story_local_flag,train_df,validation_df,test_df,train_group_df,validation_group_df,test_group_df,eligible_1_1_1,eligible_10_3_3,eligible_20_5_5,eligible_group_1_1_1,eligible_group_10_3_3,eligible_group_20_5_5
1,lpw_12404a0b63,在,true,true,true,false,85,13,25,84,13,25,true,true,true,true,true,true
1,lpw_74570c7270,对,true,true,true,false,77,11,20,70,10,20,true,true,true,true,true,true
1,lpw_9e5bf0d2d9,着,true,true,true,false,71,9,18,62,9,18,true,true,true,true,true,true
1,lpw_bdbd41e490,地,true,true,true,false,64,9,18,64,9,18,true,true,true,true,true,true
1,lpw_5ba1e3c0eb,会,true,true,true,false,59,9,17,59,9,17,true,true,true,true,true,true
1,lpw_e1dbc1c99f,一个,true,true,true,false,59,9,17,59,9,17,true,true,true,true,true,true
1,lpw_c1b52e0e64,什么,true,true,true,false,54,8,15,51,7,14,true,true,true,true,true,true
1,lpw_90ce0f66f0,有,true,true,true,false,53,8,16,52,7,15,true,true,true,true,true,true
1,lpw_50f5d65d57,人,true,true,true,false,53,7,15,53,7,15,true,true,true,true,true,true
1,lpw_059ab0f707,花儿,true,true,true,false,52,7,15,51,7,15,true,true,true,true,true,true
1,lpw_7e9260e925,它,true,true,true,false,51,7,14,49,7,14,true,true,true,true,true,true
1,lpw_02811cec0b,呢,true,true,true,false,50,7,13,48,6,13,true,true,true,true,true,true
1,lpw_db5ba671d2,上,true,true,true,false,49,7,14,48,7,14,true,true,true,true,true,true
1,lpw_10518f8f0a,他们,true,true,true,false,47,7,13,47,7,13,true,true,true,true,true,true
